Date,Open,High,Low,Close,Adj Close,Volume
2015-07-02,0.318900,0.318900,0.318900,0.318900,0.318900,791
2015-07-05,null,null,null,null,null,null
2015-07-06,0.314600,0.314600,0.314600,0.314600,0.314600,305
2015-07-07,0.310350,0.312000,0.309800,0.310350,0.310350,751
2015-07-08,0.306750,0.310750,0.305850,0.306750,0.306750,540
2015-07-09,0.307950,0.308500,0.306500,0.307950,0.307950,504
2015-07-10,0.313900,0.314100,0.310300,0.313900,0.313900,14
2015-07-12,null,null,null,null,null,null
2015-07-13,0.316700,0.317150,0.313050,0.316700,0.316700,169
2015-07-14,0.317250,0.318800,0.316200,0.317250,0.317250,286
2015-07-15,0.316950,0.319300,0.314150,0.316950,0.316950,773
2015-07-16,0.315850,0.317600,0.314800,0.315850,0.315850,817
2015-07-17,0.311700,0.314600,0.310800,0.311700,0.311700,678
2015-07-19,null,null,null,null,null,null
2015-07-20,0.311400,0.312000,0.308000,0.311400,0.311400,1227
2015-07-21,0.313750,0.314050,0.311100,0.313750,0.313750,463
2015-07-22,0.309050,0.312550,0.308100,0.309050,0.309050,324
2015-07-23,0.303100,0.309000,0.301800,0.303100,0.303100,669
2015-07-24,0.297650,0.300450,0.297200,0.297650,0.297650,1141
2015-07-26,null,null,null,null,null,null
2015-07-27,0.296850,0.298100,0.295400,0.296850,0.296850,922
2015-07-28,0.295500,0.297300,0.292050,0.295500,0.295500,3430
2015-07-29,0.300700,0.300900,0.297600,0.300700,0.300700,1171
2015-07-30,0.295900,0.296550,0.294500,0.295900,0.295900,2126
2015-07-31,0.294650,0.296000,0.295600,0.294650,0.294650,348
2015-08-02,null,null,null,null,null,null
2015-08-03,0.286750,0.288800,0.286350,0.286750,0.286750,1489
2015-08-04,0.285500,0.288600,0.283000,0.285500,0.285500,2534
2015-08-05,0.283600,0.286800,0.283250,0.283600,0.283600,4730
2015-08-06,0.279700,0.283300,0.277500,0.279700,0.279700,698
2015-08-07,0.282500,0.283750,0.278000,0.282500,0.282500,1048
2015-08-09,null,null,null,null,null,null
2015-08-10,0.286350,0.288750,0.281700,0.286350,0.286350,318
2015-08-11,0.283350,0.287700,0.280950,0.283350,0.283350,1079
2015-08-12,0.285800,0.287150,0.280000,0.285800,0.285800,836
2015-08-13,0.283100,0.285000,0.281700,0.283100,0.283100,2476
2015-08-14,0.285800,0.287200,0.282550,0.285800,0.285800,2806
2015-08-16,null,null,null,null,null,null
2015-08-17,0.285650,0.287300,0.283750,0.285650,0.285650,3435
2015-08-18,0.287100,0.287950,0.284100,0.287100,0.287100,2301
2015-08-19,0.285350,0.287700,0.283450,0.285350,0.285350,1729
2015-08-20,0.288400,0.288800,0.283100,0.288400,0.288400,2420
2015-08-21,0.285500,0.288050,0.284300,0.285500,0.285500,1921
2015-08-23,null,null,null,null,null,null
2015-08-24,0.280400,0.282350,0.279000,0.280400,0.280400,3145
2015-08-25,0.278550,0.285000,0.276100,0.278550,0.278550,4140
2015-08-26,0.276150,0.278300,0.273200,0.276150,0.276150,5669
2015-08-27,0.280450,0.281950,0.277850,0.280450,0.280450,4731
2015-08-28,0.279000,0.282950,0.277750,0.279000,0.279000,7266
2015-08-30,null,null,null,null,null,null
2015-08-31,0.274200,0.274200,0.274200,0.274200,0.274200,2272
