"bvpopening";"bvpclosing";"bvplowest";"bvphighest";"ptropening";"ptrclosing";"ptrlowest";"ptrhighest";"abeopening";"abeclosing";"abelowest";"abehighest";"cmiopening";"cmiclosing";"cmilowest";"cmihighest";"ggbopening";"ggbclosing";"ggblowest";"ggbhighest";"ituopening";"ituclosing";"itulowest";"ituhighest";"bbdopening";"bbdclosing";"bbdlowest";"bbdhighest";"bbaopening";"bbaclosing";"bbalowest";"bbahighest";"valopening";"valclosing";"vallowest";"valhighest";"date"
"50005";"48512";"48345";"50005";"9.26774488885158";"8.683292388916016";"8.674016039184293";"9.26774488885158";"12.714063918292657";"12.619536399841309";"12.42260231683188";"13.04491323784801";"8.751308216056545";"8.505447387695312";"8.332681275658043";"8.771242767445461";"8.612142431816952";"8.278128623962402";"8.133690313638299";"8.612142431816952";"14.11784442359944";"13.944720268249512";"13.816938051660113";"14.34867663073268";"12.381075670171995";"12.220745086669922";"12.160176073510991";"12.644729611520775";"16.65742120283398";"16.10288429260254";"15.797178099373088";"16.828047631516352";"16.854504144612438";"16.528287887573242";"16.357411788227964";"17.04868045281559";"2015-01-02"
"48512";"47517";"47264";"48512";"8.479200858708818";"7.941133499145508";"7.913301788159601";"8.525585274233299";"12.53288218862658";"12.39108943939209";"12.241419899500816";"12.580146688785993";"8.306101422021312";"8.286166191101074";"8.286166191101074";"8.625054907511105";"8.160772413421729";"7.898977756500244";"7.7635670536140555";"8.187854381814915";"13.72624288399278";"14.014782905578613";"13.619070468270102";"14.159052202887636";"12.017783682704646";"12.245945930480957";"11.875181740243256";"12.39567861518685";"16.053126766038844";"15.768749237060547";"15.569684288766227";"16.138440702741843";"16.124397348200024";"16.27973747253418";"15.930221081696814";"16.411777393014255";"2015-01-05"
"47517";"48001";"47338";"48061";"8.080288313982656";"7.681375980377197";"7.458727606389683";"8.191612500976413";"12.39108938955902";"12.863731384277344";"12.257174934007361";"12.934627758609466";"8.33268172588041";"8.21307373046875";"8.153269392455083";"8.452289040676396";"7.871896601217188";"8.729499816894531";"7.871896601217188";"8.756581788085091";"14.01478839730365";"14.241497993469238";"13.862274020352096";"14.24149799346924";"12.267334881544388";"12.648795127868652";"12.171078477316604";"12.64879512786865";"15.804295733569434";"15.989141464233398";"15.626559610548584";"16.188206410183593";"16.365176491074454";"16.932170867919922";"16.365176491074454";"17.18848349590811";"2015-01-06"
"48006";"49463";"48006";"49882";"7.941132571178421";"8.043179512023926";"7.755591391857995";"8.098841158039324";"12.871608075040898";"13.044909477233887";"12.714060253056447";"13.170947133826493";"8.306102322592412";"8.21307373046875";"8.166559094099082";"8.352616278346407";"8.982267526582364";"9.37044620513916";"8.955185553472942";"9.415583400935134";"14.426986781789184";"14.756746292114258";"14.426986781789184";"14.979333355122193";"12.812791884641426";"13.151472091674805";"12.698710025059404";"13.29763799586074";"16.309066685396264";"16.692975997924805";"16.166877247559633";"17.119542955415724";"17.33605938499773";"17.553537368774414";"17.06421227563876";"17.716644745521258";"2015-01-07"
"49463";"49943";"49017";"50261";"8.15450488776113";"8.56269359588623";"8.108119586110858";"8.71112673811231";"13.738964988732555";"13.830948829650879";"13.596808868653323";"13.948018012675659";"8.339324943901175";"8.146623611450195";"8.146623611450195";"8.48551232590913";"9.514883414621229";"9.153787612915039";"9.036431262130453";"9.623212155133086";"14.839191247921178";"14.98758316040039";"14.51767662669022";"15.045291205640572";"13.190688128222828";"13.219209671020508";"12.941135022368927";"13.336855479847149";"16.899150269685364";"16.74985122680664";"16.508130000065055";"17.048447956545132";"17.685577239985303";"17.739946365356445";"17.17295194156088";"17.771013802091";"2015-01-08"
"49955";"48840";"48501";"49955";"8.534862484931232";"8.822450637817383";"8.28438327991195";"8.822450637817383";"13.772416527245117";"13.797503471374512";"13.630260367075442";"13.922935002124591";"8.139979778795103";"7.860894680023193";"7.781156469297323";"8.139979778795103";"9.153787914057181";"8.738527297973633";"8.720472076834191";"9.153787914057181";"14.859797772685589";"14.332181930541992";"14.290962522580418";"14.901017180647163";"13.090861444117301";"12.645230293273926";"12.577493991343399";"13.165727053112539";"16.70718878316578";"16.024682998657227";"16.003354184384413";"16.742735450935346";"17.545772648036415";"17.359363555908203";"17.312761653238095";"17.74771620153726";"2015-01-09"
"48840";"48140";"47956";"48840";"8.59980291375844";"8.20089054107666";"8.154505237437323";"8.887390203815382";"13.839310658456302";"13.973104476928711";"13.722241466029976";"14.06508832523404";"7.794445235299765";"7.601743221282959";"7.561874120706627";"7.807734935491876";"8.75657931788379";"8.53089427947998";"8.422565564356564";"8.774634534197743";"14.262107323549317";"13.985933303833008";"13.965323600534125";"14.398133077683921";"12.548980010137328";"12.420638084411621";"12.335076322726628";"12.702276673152557";"16.03890841710142";"15.747421264648438";"15.654999071244431";"16.351724393887217";"17.172951478622647";"17.584604263305664";"17.033144313467087";"17.59237149264181";"2015-01-12"
"48144";"48042";"48042";"48939";"8.256551587891188";"8.432815551757812";"8.210167172403564";"8.711126468313632";"13.964743758853796";"13.973104476928711";"13.931294506761631";"14.20724445672949";"7.674838190455966";"7.708063125610352";"7.63496840439384";"7.834315292857425";"8.548950753673173";"8.287156105041504";"8.214936950999679";"8.819773011790128";"14.101344612206164";"13.969441413879395";"13.969441413879395";"14.340420229399308";"12.513331369360628";"12.459855079650879";"12.459855079650877";"12.80923006510541";"15.868276761235553";"15.654994010925293";"15.512804606706014";"16.14554460784262";"17.63120935760431";"17.48363494873047";"17.48363494873047";"17.96519136292223";"2015-01-13"
"48038";"47646";"47372";"48281";"8.237998259185723";"8.265829086303711";"8.015349872789741";"8.312214387984385";"13.822588000110835";"14.01491641998291";"13.822588000110835";"14.04836407802893";"7.621680721503193";"7.7479329109191895";"7.535296963918551";"7.821026964354779";"8.034388676561532";"7.971197128295898";"7.772594012563556";"8.06147150660704";"13.849908876711007";"14.064253807067871";"13.80868946616385";"14.274474798614191";"12.299426421784885";"12.59175968170166";"12.245948710019318";"12.780707190829341";"15.534137606151074";"15.768749237060547";"15.35640148103726";"16.173987385356998";"16.932171401978707";"16.077796936035156";"16.07002970688781";"17.087513022030706";"2015-01-14"
"47648";"48026";"47648";"48853";"8.349322281774793";"8.636910438537598";"8.228720853759812";"8.711126565819736";"13.956383184524704";"14.04000473022461";"13.889486266954444";"14.207246226676096";"7.767865148602877";"7.900763511657715";"7.608388065798911";"8.139978795555864";"7.853842243428476";"8.106609344482422";"7.853842243428476";"8.251048548862256";"14.097228701326017";"13.940591812133789";"13.936470727528963";"14.492939868458887";"12.61671080532413";"12.463414192199707";"12.463414192199707";"12.944696257036524";"15.896713322928964";"15.669211387634277";"15.669211387634276";"16.280622499734122";"16.15546999558651";"16.264209747314453";"15.883624319886213";"16.512755211639195";"2015-01-15"
